entity_id	field_entity_id	resource	namespace	field_key	ordinal	key	title	description	curator_comments	medical_comments	is_deprecated	deprecation_reason	is_provisional	source_url	curie	standard_name	grounding	version	entity_count	modified_by	modified_timestamp
B100456	B100002	patient	clinical	sex	1	female	Female				FALSE		FALSE						20	sde4	2024-07-02T23:08:40.379492+00:00
B100457	B100002	patient	clinical	sex	2	male	Male				FALSE		FALSE						20	sde4	2024-07-02T23:08:40.381887+00:00
B100448	B100003	patient	clinical	ethnicity	1	hispanic_or_latino	Hispanic or Latino				FALSE		FALSE		mesh:D006630	Hispanic or Latino	https://bioregistry.io/mesh:D006630		0	sde4	2024-07-02T23:08:40.358176+00:00
B100449	B100003	patient	clinical	ethnicity	2	not_hispanic_or_latino	Not Hispanic or Latino				FALSE		FALSE						0	sde4	2024-07-02T23:08:40.362161+00:00
B100450	B100004	patient	clinical	race	1	white	White				FALSE		FALSE		mesh:D000095223	White	https://bioregistry.io/mesh:D000095223		0	sde4	2024-07-02T23:08:40.364669+00:00
B100451	B100004	patient	clinical	race	2	american_indian_or_alaska_native	American Indian or Alaska native				FALSE		FALSE		mesh:D044467	American Indian or Alaska Native	https://bioregistry.io/mesh:D044467		0	sde4	2024-07-02T23:08:40.367129+00:00
B100452	B100004	patient	clinical	race	3	black_or_african_american	Black or African American				FALSE		FALSE		mesh:D001741	Black or African American	https://bioregistry.io/mesh:D001741		0	sde4	2024-07-02T23:08:40.369584+00:00
B100453	B100004	patient	clinical	race	4	asian	Asian				FALSE		FALSE		mesh:D001213	Asian	https://bioregistry.io/mesh:D001213		0	sde4	2024-07-02T23:08:40.372256+00:00
B100454	B100004	patient	clinical	race	5	native_hawaiian_or_other_pacific_islander	Native Hawaiian or other Pacific islander				FALSE		FALSE		mesh:D044468	Native Hawaiian or Other Pacific Islander	https://bioregistry.io/mesh:D044468		0	sde4	2024-07-02T23:08:40.374665+00:00
B100455	B100004	patient	clinical	race	6	other	Other				FALSE		FALSE						0	sde4	2024-07-02T23:08:40.377158+00:00
B102415	B100004	patient	clinical	race	7	unknown	Unknown				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.475167+00:00
B102435	B102317	surgery	clinical	procedure	1	biopsy	Biopsy				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.528974+00:00
B102436	B102317	surgery	clinical	procedure	2	excision	Excision				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.531127+00:00
B102437	B102317	surgery	clinical	procedure	3	resection	Resection				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.533433+00:00
B102438	B102317	surgery	clinical	procedure	4	autopsy	Autopsy				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.535598+00:00
B102439	B102317	surgery	clinical	procedure	5	fine_needle_aspiration_cytology	Fine Needle Aspiration (Cytology)				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.537787+00:00
B102440	B102317	surgery	clinical	procedure	6	smear_cytology	Smear (Cytology)				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.540050+00:00
B102441	B102317	surgery	clinical	procedure	7	fluid_cytology	Fluid (Cytology)				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.542254+00:00
B102442	B102317	surgery	clinical	procedure	8	scraping_cytology	Scraping (Cytology)				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.544585+00:00
B102443	B102318	surgery	clinical	resection_if_applicable	1	subtotal_str	Subtotal (STR)				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.546772+00:00
